YearStart,LocationDesc,Question,Data_Value
2015,Alabama,Average of 20 or more hours of care per week provided to a friend or family member,33.5
2015,Alabama,Fair or poor health among older adults with doctor-diagnosed arthritis,43.84666666666667
2015,Alabama,Mean number of days with activity limitations in the past month,7.546666666666667
2015,Alabama,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",54.57333333333334
2015,Alabama,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,19.34
2015,Alabama,Percentage of older adults ever told they have arthritis,52.35
2015,Alabama,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",38.1
2015,Alabama,Percentage of older adults who are eating 2 or more fruits daily,18.540000000000003
2015,Alabama,Percentage of older adults who are eating 3 or more vegetables daily,9.893333333333334
2015,Alabama,Percentage of older adults who are experiencing frequent mental distress,12.326666666666666
2015,Alabama,Percentage of older adults who had a cholesterol screening within the past 5 years,92.66875
2015,Alabama,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,90.93333333333334
2015,Alabama,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,63.1
2015,Alabama,Percentage of older adults who have not had any leisure time physical activity in the past month,37.64375
2015,Alabama,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,17.75625
2015,Alabama,Percentage of older adults who provided care for a friend or family member within the past month,25.466666666666665
2015,Alabama,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,11.5
2015,Alabama,Percentage of older adults who provided care to a friend or family member for six months or more,74.80666666666667
2015,Alabama,Percentage of older adults who reported binge drinking within the past 30 days,7.035714285714286
2015,Alabama,Percentage of older adults who reported influenza vaccine within the past year,51.4125
2015,Alabama,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",32.3625
2015,Alabama,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",67.6375
2015,Alabama,Percentage of older adults with a lifetime diagnosis of depression,22.6125
2015,Alabama,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,44.00666666666667
2015,Alabama,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,67.7
2015,Alabama,Physically unhealthy days (mean number of days in past month),6.25
2015,Alabama,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,40.873333333333335
2015,Alaska,Fair or poor health among older adults with doctor-diagnosed arthritis,32.81333333333333
2015,Alaska,Mean number of days with activity limitations in the past month,5.800000000000001
2015,Alaska,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",56.60666666666667
2015,Alaska,Percentage of older adults ever told they have arthritis,40.333333333333336
2015,Alaska,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",34.46
2015,Alaska,Percentage of older adults who are eating 2 or more fruits daily,30.166666666666668
2015,Alaska,Percentage of older adults who are eating 3 or more vegetables daily,19.53846153846154
2015,Alaska,Percentage of older adults who are experiencing frequent mental distress,8.946153846153846
2015,Alaska,Percentage of older adults who had a cholesterol screening within the past 5 years,87.93333333333334
2015,Alaska,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,76.29333333333334
2015,Alaska,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,49.333333333333336
2015,Alaska,Percentage of older adults who have not had any leisure time physical activity in the past month,31.40666666666667
2015,Alaska,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,17.773333333333333
